#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
21226	9.29496	9.63901	9.84268	0.32593	1.3155	1.68855	0.33199	1.15298	1.55162	0.56918	1.72936	2.52972	9.42168	9.46417	9.51798	0.68595	1.01977	1.41374	0.66962	0.97301	1.30537	1.18093	1.63247	2.17068
23053	9.88642	9.89602	10.01585	1.72351	1.94777	1.95953	1.58588	1.77175	1.78342	0.89326	1.23118	1.26043	9.97929	9.99122	10.00865	1.675	1.83878	1.89144	1.63762	1.74483	1.78274	1.16727	1.35598	1.42499
11425	8.84568	8.91874	9.33574	0.52361	0.58115	0.85898	0.46492	0.50685	0.94732	0.33654	0.39831	1.62407	8.90132	8.93962	8.96997	0.81613	0.969	1.03904	0.70358	0.81762	0.8715	1.10088	1.36447	1.48618
19508	11.35067	11.357	11.39354	-21.73129	-20.78918	-14.35733	-21.5194	-20.58598	-14.18716	2.63276	2.65864	2.87723	10.76324	10.76716	10.77103	-14.81635	-13.02163	-10.14558	-14.61171	-12.83853	-9.99969	1.51794	1.53269	1.5474
22312	8.81661	9.01309	9.15088	0.60105	0.75479	0.92045	0.52827	0.66249	0.80635	0.52553	0.74187	0.97735	8.74707	8.85816	8.93816	0.48013	0.67107	0.83806	0.42937	0.57282	0.71031	0.47915	0.69385	0.9271
23817	9.43102	9.48683	9.54425	1.29576	1.49724	1.55646	1.21682	1.33401	1.38657	1.23392	1.53026	1.63408	8.95996	9.02869	9.11141	0.63244	0.77684	0.95473	0.58576	0.70173	0.83429	0.31061	0.47687	0.74978
3707	9.42034	9.5127	9.57329	1.07172	1.32047	1.45939	1.02084	1.22173	1.32655	1.14626	1.47622	1.67702	9.13423	9.20532	9.28844	0.72269	0.951	1.15179	0.68621	0.87519	1.04615	0.67816	0.95936	1.26354
24066	9.20722	9.26919	9.30771	0.75863	0.8804	1.04477	0.7148	0.81994	0.94468	0.7117	0.85428	1.04416	8.50446	8.56409	8.64893	0.44657	0.56276	0.64916	0.34407	0.41159	0.49612	0.16469	0.29274	0.43196
9372	8.61349	8.72734	8.98002	0.37935	0.50683	0.63488	0.31026	0.40832	0.53393	0.32994	0.4742	0.6976	8.76543	8.84028	8.92342	0.25881	0.44058	0.65554	0.23183	0.39064	0.56162	0.40391	0.61956	0.87403
2784	9.28598	9.47053	9.53863	0.90055	1.51034	1.58627	0.84091	1.34014	1.41391	0.40857	1.48979	1.62784	9.29917	9.32764	9.35205	1.30272	1.38414	1.42592	1.17141	1.22386	1.25646	1.29779	1.41333	1.48738
